NAME:,walk_1_2.csv,,
EXPERIMENT TIME:,06/6/2023 13:34,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,63,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
47.558,-10.994,-7.768,-3.058
47.644,-1.501,-3.571,-0.469
47.73,-8.876,-5.807,-0.9
47.816,-8.013,-1.257,-0.39
47.902,-9.268,-0.041,-2.391
47.988,-10.013,-5.572,-4.587
48.074,-13.191,-9.141,1.375
48.16,-12.406,-0.943,0.473
48.246,-6.13,-4.316,1.061
48.332,-3.933,-3.375,5.847
48.418,-10.013,-2.904,5.768
48.504,-12.798,-1.531,-5.058
48.59,-18.015,-11.299,-2.469
48.676,-8.993,-1.335,-1.567
48.762,-7.856,-2.473,-1.018
48.848,-8.915,-1.884,-0.782
48.934,-9.817,-1.335,-2.391
49.02,-10.837,-4.63,-0.665
49.106,-9.856,-8.71,1.61
49.192,-13.857,-2.002,-0.233
49.278,-4.953,-4.473,1.179
49.364,-3.894,-3.689,6.906
49.45,-10.602,-1.257,6.121
49.536,-7.542,1.411,-3.528
49.622,-3.384,-5.062,-1.057
49.708,-12.955,-1.335,-0.665
49.794,-8.052,-2.12,0.237
49.88,-10.523,0.352,-1.685
49.966,-9.778,-3.767,-2.391
50.052,-10.445,-2.865,-0.939
50.138,-6.64,-6.042,1.963
50.224,-12.72,-2.826,0.434
