,walk_5_1.csv,,
EXPERIMENT TIME:,05/06/2023 20:34,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,98,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
25.584,7.22,-8.55,-5.88
25.625,8.28,-7.57,-14.83
25.666,1.29,-7.45,-15.06
25.707,3.77,-3.57,-9.02
25.748,3.88,-0.67,-4.12
25.789,1.69,-1.06,-2.16
25.83,2.2,-3.88,-9.45
25.871,7.88,-5.81,-7.61
25.912,7.61,-5.96,-5.77
25.953,5.92,-4.16,-3.73
25.994,5.14,-1.92,-3.53
26.035,6.59,-2.63,-3.57
26.076,7.92,-4.98,-6
26.117,10.9,-6.59,-5.77
26.158,8.79,-6.63,-8.71
26.199,7.88,-4.71,-13.45
26.24,5.06,-4.59,-14.24
26.281,4.9,-8.83,-9.69
26.322,3.57,-6.16,-7.14
26.363,5.1,-2.12,-6.35
26.404,5.02,-3.33,-4.67
26.445,6.9,-3.06,-5.18
26.486,2.51,-1.14,-4.63
26.527,2.2,-2.35,-1.96
26.568,4.67,-5.06,-1.84
26.609,6.55,-6.75,-7.92
26.65,9.96,-10.24,-10.32
26.691,9.06,-12.2,-7.34
26.732,5.22,-7.18,-16.2
26.773,2.79,-7.49,-11.96
26.814,2.67,-3.3,-7.22
26.855,3.26,-0.82,-5.45
26.896,1.77,-0.75,-7.02
26.937,4.39,-4.47,-6.63
26.978,8.83,-6.2,-6.67
27.019,5.18,-4.55,-7.14
27.06,5.14,-3.69,-4.67
27.101,5.81,-3.18,-4
27.142,7.3,-3.65,-4.71
27.183,7.96,-5.18,-6.63
27.224,9.92,-6.39,-5.88
27.265,9.53,-6.98,-6.59
27.306,8.36,-4.9,-12.71
27.347,4.55,-2.47,-13.73
27.388,4.94,-7.22,-7.88
27.429,4.08,-5.81,-7.14
27.47,5.06,-3.69,-7.26
27.511,4.79,-3.69,-5.3
27.552,5.37,-3.73,-5.65
27.593,2.59,-1.41,-4.67
27.634,2.31,-2.51,-1.73
27.675,4.67,-4.75,-3.18
27.716,7.1,-7.14,-7.45
27.757,8.08,-9.14,-11.65
27.798,8.43,-12.55,-5.3
27.839,7.49,-7.92,-14.4
27.88,1.41,-6.9,-15.73
27.921,3.18,-3.18,-8.67
27.962,3.33,0.04,-6
28.003,2.55,-0.71,-5.84
28.044,1.77,-2.55,-6.24
28.085,9.77,-6.24,-5.49
28.126,7.45,-6.16,-8.24
28.167,4.82,-4.79,-5.41
28.208,5.18,-4.24,-4.24
28.249,5.06,-3.3,-3.49
28.29,5.06,-3.14,-4.43
28.331,8.71,-6.08,-6.2
28.372,10.47,-7.61,-6.16
28.413,8.24,-6.59,-9.02
28.454,7.81,-4.39,-14.63
28.495,4.71,-4.16,-15.77
28.536,4.63,-7.96,-9.65
28.577,3.77,-6.12,-5.92
28.692,4.55,-2.75,-5.69
28.79,7.14,-3.92,-4.55
29.028,3.73,-6.28,-9.89
29.069,3.26,-2,-6.43
29.11,2.31,0.04,-4.51
29.151,1.77,-1.29,-6.28
29.192,5.33,-5.33,-5.41
29.233,6.86,-5.73,-6.79
29.274,5.33,-4.28,-5.33
29.315,6.24,-3.84,-4
29.356,7.14,-3.41,-3.96
29.397,6.55,-2.98,-4.71
29.438,7.06,-4.35,-5.37
29.479,9.77,-6.94,-5.92
29.52,9.34,-7.14,-11.1
29.561,7.41,-4.28,-14.47
29.602,5.14,-4.63,-12.4
29.643,3.61,-6.43,-8.9
29.684,3.22,-5.81,-6.59
29.725,5.26,-4,-5.69
29.766,4.39,-3.22,-4.86
29.807,6.35,-3.45,-4.67
29.848,3.41,-1.69,-4.55
29.889,3.33,-3.3,-1.49
29.93,5.61,-5.33,-3.33
29.971,6.43,-6.9,-7.77
30.012,11.18,-11.57,-6.63
30.053,8.16,-10.04,-8.24
30.094,4.04,-6.67,-17.5
30.135,3.26,-6.08,-11.77
30.176,2.9,-2.12,-6.16
30.217,2.67,-1.02,-3.3
30.258,1.61,-2.51,-4.86
30.299,6.39,-5.73,-8.28
30.34,6.2,-5.61,-6.24
30.381,4.59,-3.8,-4.2
30.422,4.82,-2.2,-4.12
30.463,7.1,-3.57,-4.67
30.504,8.63,-4.75,-6.2
30.545,10.51,-5.77,-5.37
30.586,9.14,-6.71,-8.36
30.627,8.24,-5.61,-12.47
30.668,4.16,-4.04,-15.89
30.709,2.51,-8.63,-10.12
30.75,3.73,-8.08,-6.47
30.791,4.55,-2.86,-6.83
30.832,4.47,-2.51,-4.47
30.873,7.3,-3.8,-4.28
30.914,3.8,-0.94,-4.55
30.955,3.41,-1.88,-2.55
30.996,5.18,-4.9,-2.24
31.037,6.16,-6.32,-7.1
31.078,9.85,-10.79,-8.71
31.119,8,-12.24,-6.9
31.16,6.16,-7.41,-16.87
31.201,3.1,-6.98,-12.94
31.242,3.33,-2.51,-7.77
31.283,4.67,-0.2,-5.18
31.324,1.22,-3.02,-1.29
31.365,6.08,-4.04,-6.32
31.406,6.43,-5.06,-7.02
31.447,4.55,-5.65,-5.49
31.488,5.73,-5.02,-5.41
31.529,6.55,-4.43,-4.16
31.57,6.24,-2.94,-4.75
31.611,7.96,-3.26,-6.47
31.652,12.51,-6.63,-5.22
31.693,10.12,-6.43,-10.51
31.734,6.51,-4.04,-13.96
31.775,4.67,-5.57,-13.22
31.816,3.33,-8.12,-9.38
31.857,2.9,-6.24,-6.83
31.898,3.8,-1.49,-7.3
31.939,4.71,-4.39,-4.67
31.98,6.35,-3.37,-5.06
32.021,3.57,-1.57,-4.04
32.062,2.82,-1.88,-1.41
32.103,5.84,-5.22,-2.86
32.144,6.39,-5.37,-8.75
32.185,11.57,-10.47,-8.79
32.226,9.53,-11.85,-5.57
32.267,3.41,-6.83,-14.28
32.308,3.22,-7.26,-14.2
32.349,3.37,-4.59,-7.81
32.39,3.33,-0.55,-6
32.431,1.57,-1.06,-5.45
32.472,4.59,-5.02,-6.28
32.513,7.02,-4.86,-5.96
32.554,5.73,-4.43,-5.92
32.595,6.86,-3.8,-4.43
32.636,6.39,-2.51,-3.49
32.677,6,-2.28,-4.86
32.718,7.85,-5.73,-6.75
32.759,10.94,-8.55,-7.06
