NAME:,run_2_1,,
EXPERIMENT TIME:,06/06/2023 12:45,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,170,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
49.312,-1.49,-4.55,4.63
49.379,-20.01,-19.42,20.01
49.446,-10.04,-6.2,11.65
49.513,-2.31,5.37,3.96
49.58,-8.39,-11.61,14.44
49.647,0.75,-14.91,5.02
49.714,7.41,19.93,-13.18
49.781,-19.53,-7.61,20.01
49.848,-6.2,-3.73,6.86
49.915,-3.26,0.51,-1.41
49.982,-1.88,-2.79,-2.16
50.049,-4.75,6.94,-8.67
50.116,-4.28,5.45,18.44
50.183,-5.49,-0.9,7.96
50.25,-4.31,13.85,4.43
50.317,-3.69,-12.87,13.61
50.384,1.53,-14.04,1.73
50.451,11.69,20.01,-20.01
50.518,-11.77,1.96,10.9
50.585,-4.79,-0.16,3.96
50.652,-1.77,-0.51,-2.51
50.719,-1.69,-5.02,0.16
50.786,-5.77,1.29,-4.94
50.853,-1.65,13.89,13.22
50.92,-5.37,-13.02,12.63
50.987,-1.02,9.96,-0.94
51.054,-1.92,-3.96,10.83
