"NAME:","walk_1_1.csv","",""
"EXPERIMENT TIME:","08/06/2023 12:25","",""
"ACTIVITY TYPE:","Walking","",""
"COUNT OF ACTUAL STEPS: ","108","",""
"","","",""
"Time [sec]","ACC X","ACC Y","ACC Z"
"45.918976","8.36","8.20","-0.04"
"45.98999","6.20","11.02","-2.43"
"46.060974","13.49","8.98","1.53"
"46.13199","9.61","3.57","1.26"
"46.203003","4.90","7.41","2.28"
"46.273987","6.39","4.75","2.08"
"46.345","4.16","4.98","2.00"
"46.415985","4.51","7.06","1.45"
"46.487","6.98","7.85","4.08"
"46.557983","5.92","9.57","4.08"
"46.628998","8.36","4.43","6.24"
"46.69998","8.51","6.24","4.16"
"46.770996","5.41","5.81","2.47"
"46.84198","5.77","3.30","-1.88"
"46.912994","4.35","4.24","-0.82"
"46.98398","8.47","7.34","-0.71"
"47.054993","6.16","11.30","-2.04"
"47.125977","14.20","10.12","0.90"
"47.19699","6.28","5.65","3.65"
"47.267975","7.88","6.83","1.10"
"47.33899","5.02","5.06","1.80"
"47.410004","3.61","4.63","2.00"
"47.480988","4.31","5.22","2.55"
"47.552002","7.02","6.32","2.24"
"47.622986","6.63","9.38","3.69"
"47.694","6.63","7.53","6.98"
"47.764984","8.63","4.08","4.35"
"47.836","7.65","6.86","3.88"
"47.906982","4.59","5.49","1.84"
"47.977997","5.10","3.49","-1.22"
"48.04898","5.02","4.86","-1.06"
"48.119995","7.37","7.02","-0.16"
"48.19098","6.47","10.83","-0.86"
"48.261993","12.47","9.69","2.59"
"48.332977","8.94","5.57","3.53"
"48.40399","6.75","6.12","0.47"
"48.474976","5.10","4.82","2.31"
"48.54599","3.26","5.14","1.73"
"48.616974","4.31","6.12","2.16"
"48.68799","6.71","7.14","2.20"
"48.759003","6.35","9.18","4.12"
"48.829987","7.69","7.77","5.33"
"48.901","8.36","4.55","2.86"
"48.971985","6.47","5.73","3.41"
"49.043","5.06","4.75","0.12"
"49.113983","4.43","4.51","-1.10"
"49.184998","4.86","5.22","-0.31"
"49.25598","6.90","8.79","-0.39"
"49.326996","6.75","10.40","-2.63"
"49.39798","9.14","5.77","-1.69"
"49.468994","8.24","5.49","-2.24"
"49.539978","6.28","6.08","1.49"
"49.610992","5.49","5.18","2.39"
"49.681976","3.53","4.98","1.73"
"49.75299","3.96","5.84","2.16"
"49.823975","6.39","8.12","2.47"
"49.89499","6.59","9.02","3.65"
"49.966003","6.75","6.90","6.90"
"50.036987","8.24","5.10","3.57"
"50.108","5.69","6.28","3.37"
"50.178986","5.26","4.67","1.92"
"50.25","4.90","4.71","-1.53"
"50.320984","4.90","5.57","-0.16"
"50.392","7.34","9.65","-0.71"
"50.462982","14.16","8.00","4.43"
"50.533997","7.49","1.88","-3.49"
"50.60498","6.43","5.65","2.55"
"50.675995","6.90","4.47","-0.86"
"50.74698","4.00","5.26","2.28"
"50.817993","5.41","5.26","1.53"
"50.888977","4.24","6.35","2.16"
"50.95999","7.10","7.92","3.57"
"51.030975","6.39","9.96","4.35"
"51.740997","10.20","4.71","0.71"
"51.81198","3.02","6.35","1.65"
"51.882996","6.28","4.31","1.69"
"51.95398","3.92","4.82","1.84"
"52.024994","6.55","7.10","2.12"
"52.095978","5.73","9.18","3.45"
"52.166992","10.24","6.79","6.20"
"52.237976","7.14","3.45","5.06"
"52.30899","8.32","5.96","2.55"
"52.379974","4.39","6.16","2.00"
"52.45099","5.18","4.63","-1.26"
"52.522003","4.71","4.98","-0.94"
"52.592987","5.10","6.32","0.51"
"52.664","7.57","8.71","0.55"
"52.734985","6.63","10.12","-0.86"
"52.806","5.37","3.18","-3.80"
"52.876984","10.12","3.10","6.47"
"52.947998","4.67","5.92","0.82"
"53.018982","4.43","4.75","2.86"
"53.089996","5.77","4.67","1.88"
"53.16098","4.12","4.90","1.45"
"53.231995","6.59","7.53","3.73"
"53.30298","6.75","8.71","2.28"
"53.373993","7.18","7.77","6.32"
"53.444977","9.77","2.51","3.49"
"53.51599","5.81","7.06","3.77"
"53.586975","5.92","4.86","1.84"
"53.65799","5.77","4.04","-0.55"
"53.729004","4.79","5.18","-0.24"
"53.799988","7.85","6.24","-0.78"
"53.871002","6.39","10.87","-0.78"
"53.941986","17.38","4.35","2.47"
"54.013","3.80","3.96","5.41"
"54.083984","9.34","6.47","0.16"
"54.155","4.35","4.75","1.61"
"54.225983","4.43","5.10","1.73"
"54.296997","4.08","6.39","2.43"
"54.36798","6.08","6.59","1.69"
"54.438995","6.75","8.16","3.22"
"54.50998","5.18","9.14","3.02"
"54.580994","9.34","4.67","5.33"
"54.651978","8.94","6.39","4.51"
"54.722992","5.41","5.81","1.77"
"54.793976","5.18","3.80","-1.49"
"54.86499","4.31","4.94","-0.71"
"54.935974","5.61","6.83","-0.27"
"55.00699","6.71","9.81","-0.67"
"55.078003","6.94","7.92","0.67"
"55.148987","5.26","4.12","-2.12"
"55.22","8.43","3.88","6.51"
"55.290985","4.90","5.84","1.02"
"55.362","5.10","4.59","1.29"
"55.432983","4.75","5.73","1.73"
"55.503998","5.26","6.24","1.49"
"55.57498","5.57","8.36","3.49"
"55.645996","5.69","9.02","3.65"
"55.71698","8.43","6.63","7.14"
"55.787994","7.65","4.20","1.84"
"55.85898","5.45","7.22","3.77"
"55.929993","5.02","4.98","1.92"
"56.000977","4.90","3.37","0.00"
"56.07199","4.79","4.82","-0.47"
"56.142975","7.34","7.57","-0.12"
"56.21399","5.49","9.96","-0.39"
"56.285004","17.57","6.24","1.96"
"56.355988","2.94","2.35","4.08"
"56.427002","10.90","6.35","1.37"
"56.497986","5.06","4.51","0.59"
"56.569","4.43","5.49","2.63"
"56.639984","3.96","5.65","1.53"
"56.711","6.55","5.73","1.77"
"56.781982","7.53","7.57","2.55"
"56.852997","5.49","8.67","4.94"
"56.92398","8.32","4.00","5.61"
"56.994995","8.79","6.98","4.59"
"57.776","3.92","5.06","2.12"
"57.846985","6.16","5.65","2.00"
"57.918","5.02","5.96","1.92"
"57.988983","5.49","7.18","2.75"
"58.059998","7.41","7.85","2.98"
"58.13098","8.71","5.81","6.79"
"58.201996","7.41","3.57","5.26"
"58.27298","7.41","7.37","3.14"
"58.343994","5.41","5.88","2.20"
"58.414978","6.55","4.20","-0.86"
"58.485992","4.90","4.75","-0.90"
"58.556976","5.49","6.32","0.43"
"58.62799","7.02","8.47","-0.39"
"58.698975","6.90","8.98","-2.31"
"58.76999","14.24","8.39","2.39"
"58.841003","7.65","5.69","1.84"
"58.911987","6.43","5.65","1.06"
"58.983","6.04","5.81","1.80"
"59.053986","4.24","5.33","1.57"
"59.125","4.94","6.08","2.35"
"59.337982","6.55","8.00","3.30"
"59.408997","7.57","5.84","6.67"
"59.47998","8.79","2.71","4.51"
"59.692993","6.43","4.67","0.04"
"59.763977","4.71","4.51","0.31"
"59.83499","6.04","5.33","-0.47"
"59.905975","5.84","6.75","-0.24"
"59.97699","6.67","8.04","-0.16"
"60.047974","5.84","9.34","-1.88"
"60.118988","13.53","10.75","0.94"
"60.190002","8.24","6.39","2.08"
"60.260986","6.71","5.65","0.27"
"60.332","5.61","5.88","1.88"
"60.402985","4.47","5.37","1.61"
"60.474","5.02","5.81","1.80"
"60.544983","5.02","6.00","1.96"
"60.615997","5.37","6.98","3.10"
"60.68698","7.02","8.04","3.53"
"60.757996","5.22","8.55","2.90"
"60.82898","9.49","4.28","6.04"
"60.899994","7.96","5.37","3.26"
"60.970978","5.73","6.04","2.79"
